Learning Day,Tier,Pattern Family,ID,Title,Difficulty,Prerequisite Topics,Pattern / Technique,Companies,Num Companies,Avg Frequency %,Other Methods to Solve,Source
0,Known (review),Array (Sorting/Basic),14,Longest Common Prefix,Easy,String,Horizontal scanning (compare word by word),"Infosys,Google,Microsoft,Amazon",4,75.0,Vertical scanning column by column; Divide and conquer; Binary search on prefix length; Trie,Infosys-tagged
0,Known (review),Array (Sorting/Basic),169,Majority Element,Easy,Array,Boyer-Moore Voting Algorithm,"Infosys,Google,Microsoft,Amazon",4,59.4,Hash map counting each element; Sorting and taking the middle element; Divide and conquer,Infosys-tagged
0,Known (review),Array (Sorting/Basic),1929,Concatenation of Array,Easy,Array,Direct array duplication (concatenate with itself),"Infosys,Google,Microsoft,Amazon",4,43.8,In-place double-length array fill without extra list,Infosys-tagged
0,Known (review),Array (Sorting/Basic),232,Implement Queue using Stacks,Easy,"Stack, Design",Two-stack amortized transfer (in-stack/out-stack),"Infosys,Google,Microsoft,Amazon",4,40.6,Single stack with recursive dequeue; Two stacks transferring on every push (less amortized-efficient),Infosys-tagged
0,Known (review),Array (Sorting/Basic),1431,Kids With the Greatest Number of Candies,Easy,Array,Find max then linear scan comparing each element,"Infosys,Google,Microsoft,Amazon",4,31.2,Brute force compare every pair (unnecessary here since max suffices),Infosys-tagged
0,Known (review),Array (Sorting/Basic),66,Plus One,Easy,"Array, Math",Digit-by-digit carry from the end,"Google,Microsoft,Amazon",3,50.0,Brute-force nested loop O(n^2) as the naive baseline,Cross-company-curated
0,Known (review),Array (Sorting/Basic),485,Max Consecutive Ones,Easy,Array,Single pass counting consecutive ones,"Google,Microsoft,Amazon",3,45.8,Brute-force nested loop O(n^2) as the naive baseline,Cross-company-curated
0,Known (review),Array (Sorting/Basic),796,Rotate String,Easy,String,Concatenate string with itself and check substring,"Google,Microsoft,Amazon",3,41.7,Brute-force nested loop O(n^2) as the naive baseline,Cross-company-curated
0,Known (review),Array (Sorting/Basic),1752,Check if Array Is Sorted and Rotated,Easy,Array,"Count descents, allow at most one rotation point","Google,Microsoft,Amazon",3,41.7,Brute-force nested loop O(n^2) as the naive baseline,Cross-company-curated
0,Known (review),Array (Sorting/Basic),58,Length of Last Word,Easy,String,Scan from the end skipping trailing spaces,"Google,Microsoft,Amazon",3,41.7,Brute-force nested loop O(n^2) as the naive baseline,Cross-company-curated
0,Known (review),Array (Sorting/Basic),448,Find All Numbers Disappeared in an Array,Easy,"Array, Hashing",Cyclic sort / negative-marking trick for O(1) space,"Google,Microsoft,Amazon",3,37.5,Brute-force nested loop O(n^2) as the naive baseline,Cross-company-curated
